Player,MIN,PTS,FGM,FGA,3PTM,3PTA,FTM,FTA,A,REB,ORB,DRB,TO,BLK,STL,PF,eFG%,TS%,A/TO,Usage Rate,Box +/-,Team,Opponent,Date
Matt Enright,36.0,22.0,9.0,15.0,0.0,5.0,4.0,5.0,2.0,4.0,1.0,3.0,1.0,0.0,2.0,4.0,0.6,0.64,2.0,25.56,0.14,UMSL,Cedarville,11-04-2023
Janeir Harris,38.0,14.0,5.0,11.0,0.0,3.0,4.0,5.0,3.0,4.0,0.0,4.0,1.0,2.0,1.0,2.0,0.45,0.53,3.0,21.05,0.13,UMSL,Cedarville,11-04-2023
Mayson Quartlebaum,24.0,13.0,6.0,10.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.65,0.65,0.0,18.33,0.29,UMSL,Cedarville,11-04-2023
Emanuel Prospere II,37.0,9.0,4.0,7.0,1.0,2.0,0.0,2.0,4.0,4.0,1.0,3.0,2.0,0.0,2.0,2.0,0.64,0.57,2.0,16.22,0.16,UMSL,Cedarville,11-04-2023
Terrell Kabala,23.0,6.0,2.0,6.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,0.5,0.5,2.0,15.65,0.04,UMSL,Cedarville,11-04-2023
Troy Glover II,16.0,6.0,2.0,3.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,6.0,1.0,1.0,1.0,2.0,0.67,0.63,0.0,20.0,0.25,UMSL,Cedarville,11-04-2023
Kris O'Neal II,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,0.33,18.18,0.09,UMSL,Cedarville,11-04-2023
Christian Meeks,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-0.12,UMSL,Cedarville,11-04-2023
Sam Bledsoe,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14,-0.43,UMSL,Cedarville,11-04-2023
Emanuel Prospere II,32.0,18.0,7.0,13.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0,0.0,1.0,3.0,0.62,0.63,0.5,27.5,0.09,UMSL,Bentley,11-05-2023
